ACS Code,Area of Operations,Task,Type,Description
CA.IX.C.R1,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Risk Management,Checklist usage for a system or equipment malfunction.
CA.IX.C.R2,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
CA.IX.C.R3,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Risk Management,Undesired aircraft state.
CA.IX.C.R4,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Risk Management,Startle response.
CA.IX.C.S1,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Skills,"Determine appropriate action for simulated emergencies specified by the evaluator, from at least three of the elements or sub-elements listed in K1 through K5."
CA.IX.C.S2,IX. Emergency Operations,Task C. Systems and Equipment Malfunctions,Skills,Complete the appropriate checklist(s).
CA.IX.D.K1,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,"Emergency Locator Transmitter (ELT) operations, limitations, and testing requirements."
CA.IX.D.K2,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,Fire extinguisher operations and limitations.
CA.IX.D.K3,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,Emergency equipment and survival gear needed for:
CA.IX.D.K3a,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,a. Climate extremes (hot/cold)
CA.IX.D.K3b,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,b. Mountainous terrain
CA.IX.D.K3c,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,c. Overwater operations
CA.IX.D.K4,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,"When to deploy a ballistic parachute and associated passenger briefings, if equipped."
CA.IX.D.K5,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Knowledge,"When to activate an emergency auto-land system and brief passengers, if equipped."
CA.IX.D.R1,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Risk Management,"Survival gear (water, clothing, shelter) for 48 to 72 hours."
CA.IX.D.R2,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Risk Management,Use of a ballistic parachute system.
CA.IX.D.R3,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Risk Management,"Use of an emergency auto-land system, if installed."
CA.IX.D.S1,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Skills,Identify appropriate equipment and personal gear.
CA.IX.D.S2,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Skills,Brief passengers on proper use of on-board emergency equipment and survival gear.
CA.IX.D.S3,IX. Emergency Operations,Task D. Emergency Equipment and Survival Gear,Skills,"Simulate ballistic parachute deployment procedures, if equipped."
CA.IX.E.K1,IX. Emergency Operations,"Task E. Engine Failure During Takeoff Before V (Simulated) (AMEL, AMES)",Knowledge,Factors affecting minimum controllable speed (VMC). 
CA.IX.E.K2,IX. Emergency Operations,"Task E. Engine Failure During Takeoff Before V (Simulated) (AMEL, AMES)",Knowledge,VMC (red line) and best single-engine rate of climb airspeed (VYSE) (blue line).
CA.IX.E.K3,IX. Emergency Operations,"Task E. Engine Failure During Takeoff Before V (Simulated) (AMEL, AMES)",Knowledge,Accelerate/stop distance.
CA.IX.E.R1,IX. Emergency Operations,"Task E. Engine Failure During Takeoff Before V (Simulated) (AMEL, AMES)",Risk Management,Potential engine failure during takeoff.
CA.IX.E.R2,IX. Emergency Operations,"Task E. Engine Failure During Takeoff Before V (Simulated) (AMEL, AMES)",Risk Management,Configuring the airplane.
CA.IX.E.R3,IX. Emergency Operations,"Task E. Engine Failure During Takeoff Before V (Simulated) (AMEL, AMES)",Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
CA.IX.E.S1,IX. Emergency Operations,"Task E. Engine Failure During Takeoff Before V (Simulated) (AMEL, AMES)",Skills,Close the throttles smoothly and promptly when a simulated engine failure occurs.
CA.IX.E.S2,IX. Emergency Operations,"Task E. Engine Failure During Takeoff Before V (Simulated) (AMEL, AMES)",Skills,"Maintain directional control and apply brakes (AMEL), or flight controls (AMES), as necessary."
CA.IX.F.K1,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Knowledge,Factors affecting minimum controllable speed (VMC). 
CA.IX.F.K2,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Knowledge,"VMC (red line), VYSE (blue line), and safe single-engine speed (VSSE). "
CA.IX.F.K3,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Knowledge,Accelerate/stop and accelerate/go distances.
CA.IX.F.K4,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Knowledge,"How to identify, verify, feather, and secure an inoperative engine."
CA.IX.F.K5,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Knowledge,"Importance of drag reduction, including propeller feathering, gear and flap retraction, the manufacturer'ss recommended control input and its relation to zero sideslip."
CA.IX.F.K6,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Knowledge,Simulated propeller feathering and the evaluator'ss zero-thrust procedures and responsibilities.
CA.IX.F.R1,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Risk Management,Potential engine failure after lift-off.
CA.IX.F.R2,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Risk Management,Collision hazards.
CA.IX.F.R3,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Risk Management,Configuring the airplane.
CA.IX.F.R4,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
CA.IX.F.R5,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
CA.IX.F.S1,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Skills,"Promptly recognize an engine failure, maintain control, and use appropriate emergency procedures."
CA.IX.F.S10,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Skills,Complete the appropriate checklist(s).
CA.IX.F.S2,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Skills,"Establish VYSE; if obstructions are present, establish best single-engine angle of climb speed (VXSE) or VMC +5 knots, whichever is greater, until obstructions are cleared. Then transition to VYSE."
CA.IX.F.S3,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Skills,Reduce drag by retracting landing gear and flaps in accordance with the manufacturer'ss guidance.
CA.IX.F.S4,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Skills,Simulate feathering the propeller on the inoperative engine (evaluator should then establish zero thrust on the inoperative engine).
CA.IX.F.S5,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Skills,"Use flight controls in the proper combination as recommended by the manufacturer, or as required to maintain best performance, and trim as required."
CA.IX.F.S6,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Skills,Monitor the operating engine and aircraft systems and make adjustments as necessary.
CA.IX.F.S7,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Skills,"Recognize the airplane’s performance capabilities. If a climb is not possible at VYSE, maintain VYSE and return to the departure airport for landing, or initiate an approach to the most suitable landing area available."
CA.IX.F.S8,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Skills,Simulate securing the inoperative engine.
CA.IX.F.S9,IX. Emergency Operations,"Task F. Engine Failure After Liftoff (Simulated) (AMEL, AMES)",Skills,Maintain heading ±10° and airspeed ±5 knots.
CA.IX.G.K1,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Knowledge,Factors affecting minimum controllable speed (VMC). 
CA.IX.G.K2,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Knowledge,VMC (red line) and best single-engine rate of climb airspeed (VYSE) (blue line).
CA.IX.G.K3,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Knowledge,"How to identify, verify, feather, and secure an inoperative engine."
CA.IX.G.K4,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Knowledge,"Importance of drag reduction, including propeller feathering, gear and flap retraction, the manufacturer'ss recommended control input and its relation to zero sideslip."
CA.IX.G.K5,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Knowledge,Applicant responsibilities during simulated feathering.
CA.IX.G.R1,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Risk Management,Potential engine failure inflight or during an approach.
CA.IX.G.R2,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Risk Management,Collision hazards.
CA.IX.G.R3,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Risk Management,Configuring the airplane.
CA.IX.G.R4,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
CA.IX.G.R5,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
CA.IX.G.R6,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Risk Management,Possible single-engine go-around.
CA.IX.G.S1,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Skills,Promptly recognize an engine failure and maintain positive aircraft control.
CA.IX.G.S10,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Skills,Complete the appropriate checklist(s).
CA.IX.G.S2,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Skills,"Set the engine controls, reduce drag, identify and verify the inoperative engine, and simulate feathering of the propeller on the inoperative engine (evaluator should then establish zero thrust on the inoperative engine)."
CA.IX.G.S3,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Skills,"Use flight controls in the proper combination as recommended by the manufacturer, or as required to maintain best performance, and trim as required."
CA.IX.G.S4,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Skills,Follow the manufacturer'ss recommended emergency procedures and complete the appropriate checklist.
CA.IX.G.S5,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Skills,Monitor the operating engine and aircraft systems and make adjustments as necessary.
CA.IX.G.S6,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Skills,"Maintain the manufacturer's recommended approach airspeed ±5 knots in the landing configuration with a stabilized approach, until landing is assured."
CA.IX.G.S7,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Skills,"Make smooth, timely, and correct control application before, during, and after touchdown."
CA.IX.G.S8,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Skills,"Touch down on the first one-third of available runway/landing surface, with no drift, and the airplane'ss longitudinal axis aligned with and over the runway center or landing path."
CA.IX.G.S9,IX. Emergency Operations,"Task G. Approach and Landing with an Inoperative Engine (Simulated)(AMEL, AMES)",Skills,Maintain directional control and appropriate crosswind correction throughout the approach and landing.
CA.V.A.K1,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Knowledge,How to conduct a proper steep turn.
CA.V.A.K2,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Knowledge,"Aerodynamics associated with steep turns, including:"
CA.V.A.K2a,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Knowledge,a. Maintaining coordinated flight
CA.V.A.K2b,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Knowledge,b. Overbanking tendencies
CA.V.A.K2c,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Knowledge,"c. Maneuvering speed, including the impact of weight changes"
CA.V.A.K2d,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Knowledge,d. Load factor and accelerated stalls
CA.V.A.K2e,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Knowledge,e. Rate and radius of turn
CA.V.A.R1,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Risk Management,Division of attention between aircraft control and orientation.
CA.V.A.R2,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Risk Management,Collision hazards.
CA.V.A.R3,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Risk Management,"Low altitude maneuvering, including stall, spin, or controlled flight into terrain (CFIT)."
CA.V.A.R4,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Risk Management,"Distractions, task prioritization, loss of situational awareness, or disorientation."
CA.V.A.R5,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Risk Management,Uncoordinated flight.
CA.V.A.S1,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Skills,Clear the area.
CA.V.A.S2,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Skills,"Establish the manufacturer's recommended airspeed; or if one is not available, an airspeed not to exceed maneuvering speed (V ). A"
CA.V.A.S3,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Skills,Roll into a coordinated 360° steep turn with approximately a 50° bank.
CA.V.A.S4,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Skills,Perform the Task in the opposite direction.
CA.V.A.S5,V. Performance Maneuvers and Ground Reference Maneuvers,Task A. Steep Turns,Skills,"Maintain the entry altitude ±100 feet, airspeed ±10 knots, bank ±5°, and roll out on the entry heading ±10°."
CA.V.B.K1,V. Performance Maneuvers and Ground Reference Maneuvers,"Task B. Steep Spiral (ASEL, ASES)",Knowledge,Relationship to emergency landing procedures.
